sell_form_id,sell_form_title,sell_form_cat,sell_form_type,sell_form_res_type,sell_form_def_value,sell_form_opt,sell_form_pos,sell_form_length,sell_min_value,sell_max_value,sell_form_desc,sell_form_opts_values,sell_form_field_desc,sell_form_param_id,sell_form_param_values,sell_form_parent_id,sell_form_parent_value,sell_form_unit,sell_form_options
11,Miejscowość,0,1,1,0,1,11,100,0.00,0.00,,,Wpisz miejscowość,0,,0,,,0
12,Koszt przesyłki pokrywa,0,5,2,1,8,0,1,0.00,1.00,Sprzedający|Kupujący,0|1,"Proszę dokonać wyboru, która ze stron, biorących udział w licytacji, pokryje wszelkie koszty związane z transportem sprzedanego przedmiotu",0,,0,,,0
13,Opcje dot. transportu,0,6,2,0,8,13,2,0.00,63.00,-|-|-|-|Dodatkowe informacje|Zgadzam się na wysłanie przedmiotu za granicę,1|2|4|8|16|32,"Wybierz formy przesyłki, jakie oferujesz Kupującym. W przypadku wyboru opcji <b><i>Inne</i></b>, szczegóły wpisz w pole <i><b><font color=blue>Dodatkowe informacje o przesyłce i płatności</font></b></i>",0,,0,,,0
14,Formy płatności,0,6,2,0,8,0,3,0.00,127.00,Zwykły przelew|-|-|-|Inne rodzaje płatności|Wystawiam faktury VAT|-,1|2|4|8|16|32|64,"Wybierz formy płatności. W przypadku wyboru opcji <i><b>Inne rodzaje płatności</b></i>, szczegóły wpisz w pole <b><i>Dodatkowe informacje o przesyłce i płatności</i></b>",0,,0,,,0
15,Opcje dodatkowe,0,6,2,0,8,0,3,0.00,127.00,Pogrubienie|Miniaturka|Podświetlenie|Wyróżnienie|-|Strona działu|Znak wodny,1|2|4|8|16|32|64,"<p>W skład opcji dodatkowych wchodzą:</p><ul><li><strong>Pogrubienie</strong><br />Twój przedmiot będzie promowany pogrubioną czcionką.<br />Więcej informacji o tej opcji i jej kosztach znajdziesz w <a href=""http://allegro.pl/help_item.php?item=61"">Pomocy</a>.</li><li><strong>Miniaturka</strong><br />Jeśli dodałeś zdjęcie, możesz skorzystać z tej opcji. Twój przedmiot będzie promowany poprzez umieszczenie pierwszego załadowanego zdjęcia obok nazwy na listach przedmiotów.<br />Więcej informacji o tej opcji i jej kosztach znajdziesz w <a href=""http://allegro.pl/help_item.php?item=62"">Pomocy</a>.</li><li><strong>Podświetlenie</strong><br />Twój przedmiot będzie promowany poprzez zaznaczenie żółtym kolorem na liście przedmiotów w swojej kategorii i w wynikach wyszukiwania.<br />Więcej informacji o tej opcji i jej kosztach znajdziesz w <a href=""http://allegro.pl/help_item.php?item=347"">Pomocy</a>.</li><li><strong>Wyróżnienie</strong><br />Twój przedmiot będzie zawsze widoczny na początku listy przedmiotów w swojej kategorii i w wynikach wyszukiwania.<br />Więcej informacji o tej opcji i jej kosztach znajdziesz w <a href=""http://allegro.pl/help_item.php?item=64"">Pomocy</a>.</li><li><strong>Strona działu</strong><br />Twój przedmiot będzie promowany na stronie działu. Wymagana ocena: <img src=""http://static.allegrostatic.pl/site_images/1/0/stars/star5.gif"" alt="""" title="""" /><br />Więcej informacji o tej opcji i jej kosztach znajdziesz w <a href=""http://allegro.pl/help_item.php?item=475"">Pomocy</a>.</li></ul>",0,,0,,,0
16,Zdjęcie 1,0,7,7,0,8,16,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
17,Zdjęcie 2,0,7,7,0,8,17,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
18,Zdjęcie 3,0,7,7,0,8,18,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
19,Zdjęcie 4,0,7,7,0,8,19,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
20,Zdjęcie 5,0,7,7,0,8,20,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
21,Zdjęcie 6,0,7,7,0,8,21,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
22,Zdjęcie 7,0,7,7,0,8,22,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
23,Zdjęcie 8,0,7,7,0,8,23,0,0.00,0.00,,,"Dodanie zdjęcia zdecydowanie zwiększa zainteresowanie Twoją aukcją wśród kupujących. Zdjęcie powinno być w formacie <b>gif, jpg</b> lub <b>png</b>.<hr>
Zdjęcie bądź rysunek Twojego przedmiotu możesz znaleźć np. na stronach WWW producenta sprzętu/przedmiotu, który sprzedajesz; zdjęcie możesz także wykonać sam.
Kiedy korzystasz ze zdjęć wykonanych przez inne osoby (w tym ze zdjęć umieszczonych na aukcjach innych Użytkowników),
pamiętaj, aby zapytać autorów/posiadaczy praw autorskich o pozwolenie, zanim umieścisz ich zdjęcie na swojej aukcji.<hr>
Jeżeli zdecydujesz się dodatkowo na wykupienie opcji <i>Miniaturka</i>, pomniejszone zdjęcie będzie widoczne na spisach aukcji
oraz podczas przeglądania spisów z opcją <i>Wyświetl aukcje jako obrazki</i><hr>
Możesz dodać <font color=red>8 zdjęć </font>. Pierwsze zdjęcie do 50 kB <b>gratis</b>, każde kolejne - <b>0,10 zł</b>.
Maksymalny rozmiar zdjęcia nie może przekroczyć <font color=red>200 kB</font>. Za zdjęcia powyżej 50 kB - dopłata <b>0,10 zł.</b><br>",0,,0,,,0
24,Dodatkowe informacje o przedmiocie,0,8,1,0,1,0,0,0.00,0.00,,,"Opisz przedmiot jak najdokładniej, uwględniając jego stan (nowy/używany), zalety i wady.
Staraj się opisać go uczciwie, podając możliwie dużo szczegółów. W opisie aukcji można używać znaczników HTML.",0,,0,,,0
25,Rozszerzenie informacji o przedmiocie,0,8,1,0,8,0,0,0.00,0.00,,,"W polu przekazać można dodatkowy tekst do opisu, w przypadku w którym złożone zostały już oferty kupna i edycja opisu oferty nie jest możliwa. Pole możliwe do wykorzystania wyłącznie przy edycji oferty (doChangeItemFields) - przy próbie przekazania wartości w tym polu przy wystawianiu oferty, zostanie ono zignorowane.",0,,0,,,0
27,Dodatkowe informacje o przesyłce i płatności,0,8,1,0,8,27,500,0.00,0.00,,,"W polu tym możesz wpisać dodatkowe warunki i informacje, np. <b>koszty wysyłki przy zakupie kilku przedmiotów</b>, <b>numer konta bankowego</b> itp. Pamiętaj jednak, że możesz wpisać maksymalnie <b><font color=red>500</font></b> znaków.",0,,0,,,0
28,Sztuki / Komplety / Pary,0,4,2,0,8,28,1,0.00,2.00,Sztuk|Kompletów|Par,0|1|2,,0,,0,,,0
29,Format sprzedaży,0,4,2,0,8,0,1,0.00,1.00,Tylko Kup Teraz! (bez licytacji) lub Licytacja|Sklep (bez licytacji),0|1,,0,,0,,,0
30,Automatyczne wznowienie oferty w sklepie,0,4,2,0,8,30,1,0.00,2.00,Nie wznawiaj|Wznów z pełnym zestawem przedmiotów|Wznów tylko z przedmiotami niesprzedanymi,0|1|2,Opcje wystawienia przedmiotu w sklepie.,0,,0,,,0
31,Kategoria w sklepie,0,2,2,0,8,31,500,0.00,10000000.00,,,Określ kategorię przedmiotu w ramach sklepu AllegroApi.,0,,0,,,0
32,Kod pocztowy,0,1,1,0,1,0,20,0.00,0.00,,,,0,,0,,,0
33,Pierwsze konto bankowe,0,1,1,0,8,33,35,0.00,0.00,,,,0,,0,,,0
34,Drugie konto bankowe,0,1,1,0,8,34,35,0.00,0.00,,,,0,,0,,,0
35,Darmowe opcje przesyłki,0,6,2,0,8,0,1,0.00,7.00,Odbiór osobisty|Przesyłka elektroniczna (e-mail)|Odbiór osobisty po przedpłacie,1|2|4,,0,,0,,,0
36,Paczka pocztowa ekonomiczna (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,1,0,,0,,,0
37,List ekonomiczny (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,2,0,,0,,,0
38,Paczka pocztowa priorytetowa (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,3,0,,0,,,0
39,List priorytetowy (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,4,0,,0,,,0
40,Przesyłka pobraniowa / Paczka48 pobranie (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,5,0,,0,,,0
41,List polecony ekonomiczny (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,6,0,,0,,,0
42,Przesyłka pobraniowa priorytetowa / Paczka24 pobranie (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,7,0,,0,,,0
43,List polecony priorytetowy (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,8,0,,0,,,0
44,Przesyłka kurierska (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,9,0,,0,,,0
45,Przesyłka kurierska pobraniowa (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,11,0,,0,,,0
46,Odbiór w punkcie po przedpłacie - PACZKA W RUCHu (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,10006,0,,0,,,0
47,Odbiór w punkcie po przedpłacie - Paczkomaty 24/7 (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,10022,0,,0,,,0
48,Odbiór w punkcie - PACZKA W RUCHu (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,20006,0,,0,,,0
49,Odbiór w punkcie - Paczkomaty 24/7 (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,20022,0,,0,,,0
51,Odbiór w punkcie po przedpłacie - E-PRZESYŁKA / Paczka48 Odbiór w Punkcie (pierwsza sztuka),0,3,3,-1,8,0,10,-1.00,1000000.00,,,10061,0,,0,,,0
